OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
294,50650220,N,8766,ALASKAN WY VI NB & SB,,WSDOT data,2014,8766,47000,,,,8971.32742280105
295,50500170,N,8742,ALASKAN WAY S,,,,,,,,,6192.23008228768
296,53650010,N,9080,BATTERY ST TUNNEL NB & SB,,WSDOT data,2014,9080,43000,,,,2041.68460168053
297,162850080,N,20488,S JACKSON ST,,,,20488,13700,2013,,,5255.77699441979
298,,N,1274,ALAKSAN WAY VI NB ON RP,,,,,,,,,183.011077000356
299,,N,1271,ALASKAN WAY VI SB OFF RP,,,,,,,,,1938.70386257426
300,,N,8924,AURORA AVE N,,WSDOT data,2014,8924,47000,,,,3743.92154934647
301,,N,8936,AURORA AVE N,,WSDOT data,2014,8936,42000,,,,3557.36773269148
302,,N,8921,AURORA AVE N,,WSDOT data,2014,8921,52000,,,,444.256544348611
303,,N,8957,AURORA AVE N,,WSDOT data,2014,8957,35000,,,,4857.01858147589
304,,N,8919,AURORA BR,,WSDOT data,2014,8919,70000,,,,3324.6262259216
305,,N,15280,N 145TH ST,,WSDOT data,2014,15283,2700,,,,1331.03967971052
306,,N,16678,N 145TH ST,,,2014,16678,31000,,,,1308.74069020708
307,,N,16695,NE 145TH ST,,WSDOT data,2014,16695,27000,,,,321.310320466937
308,,N,16685,NE 145TH ST,,WSDOT data,2014,16685,29000,,,,670.152614101874
309,,N,16686,NE 145TH ST,,WSDOT data,2014,16686,28000,,,,3009.81659890847
310,,N,16698,NE 145TH ST,,WSDOT data,,16698,24000,,,,1004.04416917016
311,,N,16681,NE 145TH ST,,WSDOT data,2014,16681,31000,,,,2641.91022646911
312,,N,12706,SAND POINT WAY NE,,WSDOT data,2014,12706,20000,,,,4336.41846761135
313,,N,16863,NE 45TH ST,,WSDOT data,2014,16863,27000,,,,1664.27368302159
